participant_index,stimulus_index,stimulus_type,response_time,tails.0,tails.1,tails.2,tails.3,tails.4,tails.5,tails.6,tails.7,X.2,heads.0,heads.1,heads.2,heads.3,heads.4,heads.5,heads.6,heads.7,X.0,X.1,test.1,mod.0,test.0,mod.7,mod.1,mod.4,mod.3,test.2,mod.6,mod.5,mod.2,prob.1,prob.0,prob.3,prob.2,prob.5,prob.4,prob.7,prob.6
53,1,chickens,,41,1,53,13,37,30,45,49,,59,99,47,87,63,70,55,51,,,,1,,1,1,1,1,,1,1,1,92,9,37,3,21,14,2,5
53,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
59,1,psychic,,45,1,37,53,49,41,13,30,,55,99,63,47,51,59,87,70,,,,1,,1,1,1,1,,1,1,1,69,29,29,42,27,30,81,79
59,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
75,1,chickens,,45,30,49,1,53,13,37,41,,55,70,51,99,47,87,63,59,,,,1,,1,1,1,1,,1,1,1,70,0,100,56,75,51,56,64
75,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
52,1,chickens,,1,37,13,41,45,49,30,53,,99,63,87,59,55,51,70,47,,,,1,,1,1,1,1,,1,1,1,8,0,12,5,23,20,22,10
52,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
48,1,chickens,,30,41,1,49,45,37,53,13,,70,59,99,51,55,63,47,87,,,,1,,1,1,1,1,,1,1,1,65,70,30,100,65,45,95,20
48,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
108,1,psychic,,45,41,53,1,13,30,49,37,,55,59,47,99,87,70,51,63,,,,1,,1,1,1,1,,1,1,1,0,0,99,0,0,60,0,0
108,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
70,1,chickens,,37,41,45,49,30,1,13,53,,63,59,55,51,70,99,87,47,,,,1,,1,1,1,1,,1,1,1,12,22,1,8,85,35,9,70
70,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
102,1,psychic,,41,53,13,45,1,37,30,49,,59,47,87,55,99,63,70,51,,,,1,,1,1,1,1,,1,1,1,61,59,85,2,29,1,75,21
102,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
98,1,psychic,,30,1,49,41,13,37,45,53,,70,99,51,59,87,63,55,47,,,,1,,1,1,1,1,,1,1,1,0,5,55,35,60,20,55,15
98,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
95,1,chickens,,45,13,49,1,41,53,37,30,,55,87,51,99,59,47,63,70,,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
95,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,0,0,0,,0,,,0,,,0,,,,,,,,
72,1,chickens,,37,41,53,45,49,30,13,1,,63,59,47,55,51,70,87,99,,,,1,,1,1,1,1,,1,1,1,88,95,6,2,92,1,99,89
72,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
